tag,label,type
D:73538,JOSÉ DE CASTRO COIMBRA,deputado
D:73910,PAULO RENATO PAIM,deputado
D:74316,JOÃO HENRIQUE DE ALMEIDA SOUSA,deputado
O:262,COMISSÃO MISTA,orgao
O:78,SENADO FEDERAL,orgao
D:73788,RICARDO JOSÉ MAGALHÃES BARROS,deputado
D:74671,JOSÉ CARLOS ELIAS,deputado
D:73458,ALEX CANZIANI SILVEIRA,deputado
D:74847,JAIR MESSIAS BOLSONARO,deputado
D:73534,JOÃO PAULO CUNHA,deputado
D:73909,OSVALDO ANICETTO BIOLCHI,deputado
D:74861,JORGE MILTON TEMER,deputado
D:74810,LUIZ JOSÉ BITTENCOURT,deputado
D:73591,RENATO DA SILVA,deputado
D:73480,CEZAR AUGUSTO SCHIRMER,deputado
D:73486,DARCI POMPEO DE MATTOS,deputado
D:73885,ANTONIO SERAFIM VENZON,deputado
D:73463,OSMAR JOSÉ SERRAGLIO,deputado
D:73778,LUIZ CARLOS JORGE HAULY,deputado
D:74080,NICIAS LOPES RIBEIRO,deputado
D:73482,HENRIQUE FONTANA JÚNIOR,deputado
D:73603,ORLANDO FANTAZZINI NETO,deputado
O:253,PODER EXECUTIVO,orgao
D:73434,ARNALDO FARIA DE SÁ,deputado
D:73793,EDSON BEZ DE OLIVEIRA,deputado
D:74771,JOÃO MIGUEL FEU ROSA,deputado
D:74577,JÚLIO CÉSAR GOMES DOS SANTOS,deputado
D:73558,ROBSON TUMA,deputado
D:73780,MAX ROSENMANN,deputado
D:73588,CARLOS MAURO CABRAL BENEVIDES,deputado
D:74021,NAIR MARIA XAVIER NUNES DE OLIVEIRA LOBO,deputado
D:73548,MARCELO FORTES BARBIERI,deputado
D:74851,JOSÉ CARLOS PIRES COUTINHO,deputado
D:73459,FLORISVALDO FIER,deputado
D:74856,MARIA LAURA MONTEZA DE SOUZA CARNEIRO,deputado
D:73553,NELSON MARQUEZELLI,deputado
D:73565,VALDEMAR COSTA NETO,deputado
D:74268,ELIMAR MÁXIMO DAMASCENO,deputado
D:74173,EDUARDO COSENTINO DA CUNHA,deputado
D:74449,PEDRO FERNANDES RIBEIRO,deputado
D:73891,DARCÍSIO PAULO PERONDI,deputado
D:74158,MÁRIO LÚCIO HERINGER,deputado
D:74171,FRANCISCO RODRIGUES DE ALENCAR FILHO,deputado
D:74436,SEVERINO JOSÉ CAVALCANTI FERREIRA,deputado
D:73923,ARMANDO ALVES JÚNIOR,deputado
D:74371,RUBENS OTONI GOMIDE,deputado
D:74043,JOSÉ WELLINGTON ROBERTO,deputado
D:74283,VICENTE PAULO DA SILVA,deputado
D:74389,MAURO GUIMARÃES PASSOS,deputado
O:5996,COMISSÃO PARLAMENTAR DE INQUÉRITO COM A FINALIDADE DE INVESTIGAR DENÚNCIAS DE IRREGULARIDADE NA PRESTAÇÃO DE SERVIÇOS POR EMPRESAS E INSTITUIÇÕES PRIVADAS DE PLANOS DE SAÚDE.,orgao
D:74455,LEONARDO ROSARIO DE ALCÂNTARA,deputado
D:74252,DENISE FROSSARD LOSCHI,deputado
O:335,COMISSÃO DE FINANÇAS,orgao
D:73938,EDUARDO VALVERDE ARAÚJO ALVES,deputado
D:74397,LUCIANA KREBS GENRO,deputado
D:74392,ODACIR ZONTA,deputado
D:74379,CEZAR AUGUSTO CAROLLO SILVESTRI,deputado
D:74273,JEFFERSON ALVES DE CAMPOS,deputado
D:74055,JOSE CARLOS MACHADO,deputado
D:74262,CARLOS HENRIQUE FOCESI SAMPAIO,deputado
D:73666,JOVAIR DE OLIVEIRA ARANTES,deputado
D:73874,JOÃO ALBERTO PIZZOLATTI JÚNIOR,deputado
D:74359,NILTON BALBINO,deputado
D:74041,LUIZ ALBUQUERQUE COUTO,deputado
D:74176,JOSIAS QUINTAL DE OLIVEIRA,deputado
D:74786,LUIZ ANTONIO DE MEDEIROS NETO,deputado
D:74385,HIDEKAZU TAKAYAMA,deputado
D:74570,JUTAHY MAGALHÃES JÚNIOR,deputado
D:74050,MAURÍCIO QUINTELLA MALTA LESSA,deputado
D:74161,REGINALDO LÁZARO DE OLIVEIRA LOPES,deputado
O:5438,COMISSÃO DE LEGISLAÇÃO PARTICIPATIVA,orgao
D:73943,MARIA PERPÉTUA DE ALMEIDA,deputado
D:141430,FELIPE LEONE BORNIER DE OLIVEIRA,deputado
D:74784,LUIZA ERUNDINA DE SOUSA,deputado
D:74419,LUIZ GONZAGA PATRIOTA,deputado
D:141469,JOSÉ MIGUEL MARTINI,deputado
D:141515,OTAVIO SANTOS SILVA LEITE,deputado
D:74491,JOSÉ NAZARENO CARDEAL FONTELES,deputado
D:74057,ALICE MAZZUCO PORTUGAL,deputado
D:141435,FLÁVIO BEZERRA DA SILVA,deputado
D:74585,LINCOLN DINIZ PORTELA,deputado
D:74027,JOSÉ DE RIBAMAR COSTA ALVES,deputado
D:74474,CARLOS EDUARDO CINTRA DA COSTA PEREIRA,deputado
D:141440,FRANCISCO LOPES DA SILVA,deputado
D:74197,DOMINGOS FRANCISCO DUTRA FILHO,deputado
D:141545,SILVIO ROBERTO CAVALCANTI PECCIOLI,deputado
D:74010,VALDIR COLATTO,deputado
D:141490,MANOEL ALVES DA SILVA JUNIOR,deputado
D:141541,SÉRGIO DE OLIVEIRA CUNHA,deputado
D:141498,MARCO AURÉLIO UBIALI,deputado
D:141390,ANTÔNIO ROBERTO SOARES,deputado
D:74254,LEONARDO CARNEIRO MONTEIRO PICCIANI,deputado
D:141374,ALEXANDRE SILVEIRA DE OLIVEIRA,deputado
D:141379,ANDREIA ALMEIDA ZITO DOS SANTOS,deputado
D:74374,GERALDO RESENDE PEREIRA,deputado
D:141391,ARNALDO CALIL PEREIRA JARDIM,deputado
D:74145,JOSÉ EDUARDO VIEIRA RIBEIRO,deputado
D:141401,CARLOS GOMES BEZERRA,deputado
D:141547,SOLANGE PEREIRA DE ALMEIDA,deputado
D:141335,JOSÉ ROBERTO OLIVEIRA FARO,deputado
D:141411,DAGOBERTO NOGUEIRA FILHO,deputado
D:141487,LUIZ FERNANDO RAMOS FARIA,deputado
D:129618,MARIA GORETE PEREIRA,deputado
D:141423,ELIENE JOSÉ DE LIMA,deputado
D:141447,GUILHERME CAMPOS JÚNIOR,deputado
D:73531,IVAN VALENTE,deputado
D:74376,VANDER LUIZ DOS SANTOS LOUBET,deputado
D:141445,GILBERTO JOSÉ SPIER VARGAS,deputado
D:141552,VALTENIR LUIZ PEREIRA,deputado
D:148134,VICTORIO GALLI FILHO,deputado
