prop_tag,auth_tag
P:15009,D:73538
P:15532,D:73910
P:15749,D:74316
P:15990,O:262
P:16481,O:78
P:16969,O:78
P:17563,D:73788
P:17823,D:74671
P:17915,O:78
P:18420,D:73458
P:18525,D:74847
P:18771,D:73534
P:18959,O:78
P:18963,D:73909
P:19034,D:74861
P:19035,O:78
P:19175,D:74810
P:19217,O:78
P:19499,D:73591
P:19669,D:73480
P:20411,D:73486
P:20529,D:73885
P:20552,O:78
P:20807,D:73910
P:21402,D:73910
P:21419,D:73463
P:21461,D:73778
P:21584,D:74080
P:26160,D:73482
P:26415,D:73603
P:26946,O:253
P:28753,D:73434
P:29224,D:73793
P:29532,D:74771
P:29955,O:78
P:33959,D:74577
P:34775,D:73558
P:36829,O:78
P:43201,D:73778
P:45377,D:73780
P:46370,D:73588
P:47024,D:74021
P:48599,D:73548
P:50794,D:74851
P:54208,D:73459
P:61611,O:78
P:105464,O:78
P:105927,D:74856
P:108207,D:73778
P:108441,D:73553
P:110191,D:73565
P:112962,D:74268
P:113531,D:74173
P:114621,D:74449
P:117549,D:73891
P:119037,D:74173
P:119930,D:74810
P:121322,D:73565
P:121376,D:74158
P:121409,D:74171
P:124063,D:74436
P:126237,D:73923
P:131872,D:74371
P:132521,D:74043
P:136078,D:74283
P:136692,D:74171
P:139681,D:74389
P:152868,O:5996
P:154637,D:74455
P:156789,D:73778
P:157958,D:74252
P:181812,O:335
P:249175,D:73938
P:253512,D:74397
P:257611,D:73923
P:270986,D:74392
P:273334,D:74379
P:275708,D:74273
P:284115,D:74055
P:286933,D:74262
P:293504,D:73666
P:294108,D:73874
P:295497,D:74359
P:301151,D:74041
P:304270,D:74176
P:307272,D:74786
P:308517,D:74385
P:313348,O:78
P:319804,D:74283
P:320496,D:74570
P:321350,O:78
P:321352,D:73603
P:322905,D:74050
P:326494,D:74379
P:327888,O:78
P:327891,O:78
P:328361,D:74161
P:329687,O:5438
P:332450,O:78
P:337308,D:73778
P:340193,D:73943
P:340212,D:141430
P:340480,D:74784
P:343722,D:74419
P:344639,O:78
P:345103,D:141469
P:345885,D:141515
P:345907,D:74491
P:346187,D:74057
P:346504,D:141435
P:346718,D:74585
P:347082,D:74027
P:349531,D:74055
P:349601,D:74474
P:351393,D:141440
P:352465,D:74197
P:352975,D:141545
P:353847,D:74010
P:355725,D:141490
P:356489,D:141541
P:358002,D:141498
P:358126,O:78
P:358267,D:141390
P:358999,D:74254
P:359175,D:141374
P:359300,D:74385
P:359374,D:141379
P:360814,D:74374
P:361803,D:141391
P:362093,D:74145
P:363817,O:78
P:363826,O:78
P:365769,D:141401
P:365794,D:141547
P:365797,D:141335
P:366383,D:141411
P:368979,D:141487
P:370165,D:129618
P:371045,D:141423
P:373948,D:141335
P:374882,D:141447
P:378094,D:73531
P:379298,D:74376
P:380726,D:74374
P:380849,D:141445
P:380851,D:141445
P:380852,D:141445
P:381206,D:141552
